City,Datetime,Station,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2015-01-01,Station_D1,58.3,223.2,126.6,85.5,207.5,18.4,0.25,42.7,184.9,8.03,12.72,4.1,266.4,Moderate
Delhi,2015-01-01,Station_D2,222.5,541.4,198.6,20.8,0.6,25.5,6.21,95.0,76.2,17.69,13.85,2.79,185.3,Poor
Mumbai,2015-01-01,Station_M1,36.6,160.8,164.2,18.6,94.8,8.9,6.84,70.7,195.4,5.53,26.93,2.64,5.9,Moderate
Mumbai,2015-01-01,Station_M2,368.8,526.2,140.6,74.4,153.2,15.2,4.03,61.0,164.2,1.62,9.35,3.27,176.7,Poor
Chennai,2015-01-01,Station_C1,188.6,88.8,87.5,58.0,6.1,48.3,9.66,46.2,17.6,2.31,7.55,9.52,171.9,Good
Chennai,2015-01-01,Station_C2,37.1,152.3,186.7,36.5,90.7,17.8,6.17,72.9,131.7,9.33,27.89,7.44,34.4,Moderate
Kolkata,2015-01-01,Station_K1,364.7,353.6,7.9,26.6,101.1,29.8,1.53,65.0,114.7,10.16,19.06,7.7,184.6,Satisfactory
Kolkata,2015-01-01,Station_K2,115.3,311.9,94.9,106.7,189.0,39.6,4.32,10.7,28.3,8.28,1.74,9.1,249.6,Satisfactory
Bangalore,2015-01-01,Station_B1,146.3,87.0,179.2,100.4,3.7,0.3,4.9,100.0,195.0,10.11,18.59,8.93,427.6,Poor
Bangalore,2015-01-01,Station_B2,331.1,455.0,95.1,111.4,243.3,7.8,8.5,34.4,90.4,11.55,14.71,1.33,227.9,Severe
Delhi,2015-01-02,Station_D1,211.9,86.9,16.9,117.5,16.9,0.7,3.75,70.3,143.7,1.02,24.0,0.83,435.7,Good
Delhi,2015-01-02,Station_D2,436.0,179.6,20.2,3.4,142.5,39.5,4.45,18.3,72.5,15.61,4.73,5.24,271.5,Satisfactory
Mumbai,2015-01-02,Station_M1,236.7,86.7,188.3,17.4,213.4,35.4,7.13,50.0,150.8,4.47,8.16,9.15,378.8,Good
Mumbai,2015-01-02,Station_M2,161.1,194.6,29.4,63.9,30.7,17.0,1.5,57.0,40.6,7.57,16.51,8.07,275.4,Very Poor
Chennai,2015-01-02,Station_C1,428.1,268.5,184.1,7.7,47.5,37.6,6.7,54.2,145.3,6.82,2.54,0.89,48.4,Good
Chennai,2015-01-02,Station_C2,252.5,388.1,120.9,45.3,226.9,20.4,1.14,66.0,84.0,17.49,20.73,7.45,418.3,Poor
Kolkata,2015-01-02,Station_K1,285.7,136.1,4.0,20.6,159.1,49.8,2.87,52.1,4.6,16.04,14.84,3.27,460.4,Severe
Kolkata,2015-01-02,Station_K2,211.2,314.8,120.4,108.6,184.8,35.4,1.9,38.6,108.2,3.5,8.38,7.58,254.2,Satisfactory
Bangalore,2015-01-02,Station_B1,161.5,449.0,52.5,52.1,3.3,31.9,5.78,33.7,81.7,17.09,26.59,6.49,1.5,Satisfactory
Bangalore,2015-01-02,Station_B2,199.5,310.4,118.6,61.2,231.7,43.0,7.94,69.0,96.0,9.45,8.31,6.31,164.2,Poor
Delhi,2015-01-03,Station_D1,9.4,101.7,194.2,25.9,138.4,49.3,3.04,23.4,192.1,17.39,15.69,3.32,48.3,Good
Delhi,2015-01-03,Station_D2,141.0,77.7,71.4,84.1,57.1,26.9,0.3,60.5,144.5,13.55,17.6,1.79,273.4,Good
Mumbai,2015-01-03,Station_M1,305.7,469.5,73.7,42.5,176.0,47.2,8.13,14.1,82.0,9.29,14.91,2.93,496.0,Moderate
Mumbai,2015-01-03,Station_M2,349.6,371.4,83.2,47.5,163.8,45.0,0.15,76.7,83.2,17.69,10.58,5.85,126.7,Very Poor
Chennai,2015-01-03,Station_C1,215.8,299.1,55.0,27.2,119.0,8.0,6.74,64.7,80.7,8.94,14.86,6.68,158.6,Poor
Chennai,2015-01-03,Station_C2,106.4,501.6,33.2,97.1,191.4,36.0,2.04,65.7,187.6,19.51,21.37,7.88,240.0,Satisfactory
Kolkata,2015-01-03,Station_K1,456.3,464.1,31.6,94.3,71.9,4.9,3.14,72.1,46.0,2.65,8.05,4.57,133.0,Very Poor
Kolkata,2015-01-03,Station_K2,98.7,320.1,139.3,100.5,36.7,30.8,2.01,35.0,62.1,7.74,22.65,7.75,130.9,Poor
Bangalore,2015-01-03,Station_B1,370.7,572.5,33.0,112.9,58.7,33.9,4.64,49.1,107.2,9.9,3.03,9.86,342.6,Satisfactory
Bangalore,2015-01-03,Station_B2,88.8,252.8,9.2,0.9,101.0,35.0,3.52,70.2,10.6,15.19,7.06,0.58,218.3,Very Poor
Delhi,2015-01-04,Station_D1,215.5,500.6,108.4,30.6,193.0,26.1,2.13,63.6,28.7,7.82,4.28,5.29,299.6,Satisfactory
Delhi,2015-01-04,Station_D2,167.0,422.7,13.8,118.8,131.8,33.2,7.72,10.6,42.9,3.03,3.18,1.59,277.3,Very Poor
Mumbai,2015-01-04,Station_M1,355.4,324.5,109.2,18.1,157.8,37.3,0.67,76.9,83.0,17.37,27.91,6.37,415.8,Poor
Mumbai,2015-01-04,Station_M2,119.7,406.2,114.9,78.1,106.0,4.2,2.41,63.8,189.8,11.91,18.67,7.92,117.2,Good
Chennai,2015-01-04,Station_C1,317.0,548.2,32.3,146.2,78.8,34.6,4.33,5.3,96.9,3.81,14.95,1.16,368.3,Severe
Chennai,2015-01-04,Station_C2,356.6,422.0,132.6,144.2,9.9,13.8,0.92,57.9,160.0,3.65,4.44,9.34,209.0,Poor
Kolkata,2015-01-04,Station_K1,154.2,212.7,198.6,32.8,38.9,38.4,3.84,15.7,147.9,17.73,29.32,1.4,413.2,Poor
Kolkata,2015-01-04,Station_K2,257.4,84.8,120.6,24.9,82.3,30.3,1.5,58.1,4.2,1.64,5.68,1.73,179.0,Good
Bangalore,2015-01-04,Station_B1,414.2,286.4,160.1,122.5,34.7,44.0,7.67,1.1,157.1,18.75,1.61,8.15,437.2,Moderate
Bangalore,2015-01-04,Station_B2,121.9,79.2,117.9,83.5,117.9,39.5,2.86,54.0,29.0,0.03,14.5,0.45,316.9,Poor
Delhi,2015-01-05,Station_D1,283.9,72.2,143.4,124.0,177.7,10.0,6.71,20.4,198.0,12.68,21.65,7.96,203.0,Very Poor
Delhi,2015-01-05,Station_D2,327.0,294.6,161.3,51.5,91.4,46.1,3.16,62.1,39.5,7.24,26.43,8.15,193.3,Poor
Mumbai,2015-01-05,Station_M1,399.5,88.4,158.9,124.8,21.1,14.4,4.6,62.9,1.8,12.58,3.99,6.81,324.7,Severe
Mumbai,2015-01-05,Station_M2,430.0,43.2,84.6,30.7,32.8,35.1,0.74,83.7,24.4,16.17,24.79,0.93,157.5,Satisfactory
Chennai,2015-01-05,Station_C1,172.9,169.9,149.0,135.7,189.3,3.6,3.51,69.3,53.3,16.92,7.31,4.16,382.8,Satisfactory
Chennai,2015-01-05,Station_C2,181.3,335.7,91.6,116.7,82.1,29.7,1.56,88.8,127.9,4.86,12.73,1.58,440.9,Very Poor
Kolkata,2015-01-05,Station_K1,350.2,490.5,133.8,129.3,244.3,21.0,1.09,82.6,59.3,14.51,19.46,8.12,150.4,Very Poor
