City,Datetime,Station,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2015-01-01 00:00:00,Station_D1,243.1,193.5,182.4,58.8,100.9,30.4,3.08,24.3,166.7,12.66,18.42,1.91,301.5,Good
Delhi,2015-01-01 00:00:00,Station_D2,476.7,504.0,172.4,80.7,114.4,30.3,7.96,48.1,72.9,8.35,26.53,1.66,243.1,Satisfactory
Mumbai,2015-01-01 00:00:00,Station_M1,463.9,92.7,142.5,21.7,130.2,11.3,4.89,99.5,166.5,15.96,24.41,7.88,14.7,Severe
Mumbai,2015-01-01 00:00:00,Station_M2,447.1,545.1,85.5,124.6,66.6,21.3,3.92,61.6,109.3,19.34,6.09,5.37,471.7,Very Poor
Chennai,2015-01-01 00:00:00,Station_C1,117.6,390.6,149.5,115.4,222.4,25.2,4.85,15.1,198.3,0.2,6.49,1.69,312.3,Satisfactory
Chennai,2015-01-01 00:00:00,Station_C2,148.8,248.3,166.7,85.3,208.7,47.2,0.46,80.0,112.0,9.27,1.59,7.97,405.9,Moderate
Kolkata,2015-01-01 00:00:00,Station_K1,209.0,568.7,179.5,121.2,220.3,8.7,9.5,16.0,112.9,10.81,18.75,5.08,2.5,Very Poor
Kolkata,2015-01-01 00:00:00,Station_K2,82.8,563.3,26.1,146.3,189.5,13.7,4.02,65.4,192.1,12.19,8.22,1.37,483.2,Very Poor
Bangalore,2015-01-01 00:00:00,Station_B1,382.8,126.1,115.1,49.2,100.1,20.5,7.1,87.6,42.0,7.43,25.06,8.12,221.1,Poor
Bangalore,2015-01-01 00:00:00,Station_B2,373.9,273.5,45.8,43.9,127.2,46.7,5.8,62.5,111.7,9.53,0.67,9.43,107.4,Severe
Delhi,2015-01-01 01:00:00,Station_D1,297.8,494.6,187.0,142.8,147.6,40.2,4.44,30.5,13.8,14.28,7.94,8.48,225.0,Satisfactory
Delhi,2015-01-01 01:00:00,Station_D2,36.9,202.7,35.1,43.0,101.6,48.4,6.97,0.3,21.9,18.72,22.86,9.52,367.4,Very Poor
Mumbai,2015-01-01 01:00:00,Station_M1,455.1,10.1,3.9,121.9,24.2,34.3,9.08,21.9,179.6,7.85,13.83,6.37,243.9,Good
Mumbai,2015-01-01 01:00:00,Station_M2,250.5,21.6,62.2,6.4,116.1,49.8,7.66,60.1,72.6,13.6,17.36,4.49,356.7,Moderate
Chennai,2015-01-01 01:00:00,Station_C1,52.1,495.1,115.3,49.4,223.9,46.0,6.88,31.5,184.6,9.99,15.6,5.25,406.5,Very Poor
Chennai,2015-01-01 01:00:00,Station_C2,131.2,499.9,155.2,30.9,190.5,24.6,3.74,84.3,47.2,2.44,29.67,6.71,413.8,Moderate
Kolkata,2015-01-01 01:00:00,Station_K1,479.6,5.7,105.5,3.1,153.1,23.3,8.09,95.3,116.7,10.29,29.79,5.38,388.1,Poor
Kolkata,2015-01-01 01:00:00,Station_K2,179.0,156.2,124.7,109.0,151.4,45.1,2.76,13.7,113.4,12.34,5.7,1.14,99.0,Very Poor
Bangalore,2015-01-01 01:00:00,Station_B1,128.6,10.6,125.3,128.1,39.7,49.3,8.41,94.9,102.0,0.72,9.57,4.44,468.3,Poor
Bangalore,2015-01-01 01:00:00,Station_B2,322.3,203.8,119.2,53.4,109.4,41.4,3.2,6.5,196.6,5.54,13.02,7.39,338.8,Severe
Delhi,2015-01-01 02:00:00,Station_D1,433.5,438.5,171.0,141.1,84.9,19.0,9.72,62.3,67.7,13.98,16.52,1.84,68.1,Severe
Delhi,2015-01-01 02:00:00,Station_D2,428.2,238.5,3.4,60.1,175.8,19.4,0.61,49.4,121.5,0.81,10.53,0.11,235.2,Severe
Mumbai,2015-01-01 02:00:00,Station_M1,299.0,120.7,76.7,71.9,97.6,23.9,9.17,58.3,99.2,10.67,7.34,0.83,131.4,Moderate
Mumbai,2015-01-01 02:00:00,Station_M2,493.8,504.6,181.9,100.0,176.2,7.7,7.26,16.3,111.4,3.26,24.44,3.38,266.5,Satisfactory
Chennai,2015-01-01 02:00:00,Station_C1,247.4,443.8,148.7,127.4,192.6,37.5,4.04,14.5,33.2,17.16,18.77,4.55,134.5,Good
Chennai,2015-01-01 02:00:00,Station_C2,41.2,55.1,17.6,123.5,216.1,3.8,9.08,72.0,161.2,14.92,12.52,6.46,154.9,Very Poor
Kolkata,2015-01-01 02:00:00,Station_K1,430.8,137.6,131.6,40.9,188.0,42.9,6.26,20.4,128.2,0.01,19.72,6.49,7.5,Moderate
Kolkata,2015-01-01 02:00:00,Station_K2,336.3,286.0,108.6,70.7,243.6,25.5,1.8,27.3,145.1,6.53,12.79,9.9,363.0,Moderate
Bangalore,2015-01-01 02:00:00,Station_B1,190.6,433.1,172.6,47.7,8.2,31.4,7.64,73.6,118.1,10.93,18.35,4.22,463.6,Very Poor
Bangalore,2015-01-01 02:00:00,Station_B2,119.6,112.7,168.6,47.7,183.1,14.9,1.7,38.9,91.2,14.77,11.14,9.59,473.4,Satisfactory
Delhi,2015-01-01 03:00:00,Station_D1,27.9,302.2,18.8,112.2,215.9,6.0,7.03,57.8,113.1,8.26,21.22,6.05,357.2,Poor
Delhi,2015-01-01 03:00:00,Station_D2,237.1,482.8,7.2,47.7,119.9,41.1,9.37,38.3,62.4,6.07,16.71,6.52,76.5,Severe
Mumbai,2015-01-01 03:00:00,Station_M1,246.2,98.8,99.6,144.2,7.7,34.6,7.72,87.4,9.8,17.25,16.46,8.77,474.9,Good
Mumbai,2015-01-01 03:00:00,Station_M2,325.6,98.0,199.4,62.4,88.3,30.4,8.33,35.0,26.1,19.32,15.43,6.03,451.1,Poor
Chennai,2015-01-01 03:00:00,Station_C1,289.5,85.7,183.5,63.2,15.1,3.9,7.69,6.1,78.4,7.55,14.94,7.25,383.8,Poor
Chennai,2015-01-01 03:00:00,Station_C2,55.7,239.8,86.4,147.8,185.1,21.6,8.15,30.9,144.7,16.31,4.87,3.82,460.3,Satisfactory
Kolkata,2015-01-01 03:00:00,Station_K1,281.6,89.4,58.2,81.5,156.0,35.0,0.75,62.1,9.8,11.69,19.93,1.32,37.5,Very Poor
Kolkata,2015-01-01 03:00:00,Station_K2,194.9,472.2,171.1,40.7,130.8,15.1,3.31,97.6,56.5,19.95,16.75,2.19,145.7,Moderate
