Experiment_ID,Drift_Type,Drift_Parameter,Mean_Shift,KS_Test_P_Value,Detection_Latency,Baseline_R2,Drifted_R2
EXP-001,None,NA,0.0,1.0,0,0.6843331264655469,0.6843331264655469
EXP-002,A,"frac=0.1,block=100",0.0,1.0,18265,0.6843331264655469,0.6716730314007244
EXP-003,A,"frac=0.1,block=200",0.0,1.0,18265,0.6843331264655469,0.6716730314007244
EXP-004,A,"frac=0.2,block=100",0.0,1.0,18265,0.6843331264655469,0.6583397586486743
EXP-005,A,"frac=0.2,block=200",0.0,1.0,18265,0.6843331264655469,0.6583397586486743
EXP-006,A,"frac=0.3,block=100",0.0,1.0,18265,0.6843331264655469,0.6448749445786706
EXP-007,A,"frac=0.3,block=200",0.0,1.0,18265,0.6843331264655469,0.6448749445786706
EXP-008,A,"frac=0.4,block=100",0.0,1.0,18265,0.6843331264655469,0.6320104656923837
EXP-009,A,"frac=0.4,block=200",0.0,1.0,18265,0.6843331264655469,0.6320104656923837
EXP-010,B,"drift=0.003,block=100",0.0,1.0,18265,0.6843331264655469,0.5982360644746971
EXP-011,B,"drift=0.003,block=200",0.0,1.0,18265,0.6843331264655469,0.5982360644746971
EXP-012,B,"drift=0.005,block=100",0.0,1.0,18265,0.6843331264655469,0.5704066747676673
EXP-013,B,"drift=0.005,block=200",0.0,1.0,18265,0.6843331264655469,0.5704066747676673
EXP-014,B,"drift=0.01,block=100",0.0,1.0,18265,0.6843331264655469,0.5267150181015839
EXP-015,B,"drift=0.01,block=200",0.0,1.0,18265,0.6843331264655469,0.5267150181015839
EXP-016,B,"drift=0.015,block=100",0.0,1.0,18265,0.6843331264655469,0.5024428832699692
EXP-017,B,"drift=0.015,block=200",0.0,1.0,18265,0.6843331264655469,0.5024428832699692
EXP-018,C,"thr=301.84,block=100",0.0,1.0,18265,0.6843331264655469,0.6646967787624183
EXP-019,C,"thr=301.84,block=200",0.0,1.0,18265,0.6843331264655469,0.6646967787624183
EXP-020,C,"thr=351.98,block=100",0.0,1.0,18265,0.6843331264655469,0.6670389468828315
EXP-021,C,"thr=351.98,block=200",0.0,1.0,18265,0.6843331264655469,0.6670389468828315
EXP-022,C,"thr=400.22,block=100",0.0,1.0,18265,0.6843331264655469,0.671540452928766
EXP-023,C,"thr=400.22,block=200",0.0,1.0,18265,0.6843331264655469,0.671540452928766
EXP-024,C,"thr=450.40,block=100",0.0,1.0,18265,0.6843331264655469,0.6761602041100485
EXP-025,C,"thr=450.40,block=200",0.0,1.0,18265,0.6843331264655469,0.6761602041100485
EXP-026,D,"shift=5.0,block=100",5.0,0.13681350509689705,18265,0.6843331264655469,0.6833904633004324
EXP-027,D,"shift=5.0,block=200",5.0,0.13681350509689705,18265,0.6843331264655469,0.6833904633004324
EXP-028,D,"shift=10.0,block=100",10.0,0.00012018721601893819,6100,0.6843331264655469,0.6800531487145554
EXP-029,D,"shift=10.0,block=200",10.0,0.00012018721601893819,6200,0.6843331264655469,0.6800531487145554
EXP-030,D,"shift=20.0,block=100",20.0,1.0651054967721282e-15,1300,0.6843331264655469,0.6661945652805137
EXP-031,D,"shift=20.0,block=200",20.0,1.0651054967721282e-15,1400,0.6843331264655469,0.6661945652805137
EXP-032,D,"shift=30.0,block=100",30.0,1.2308905603570646e-33,400,0.6843331264655469,0.6427573761634217
EXP-033,D,"shift=30.0,block=200",30.0,1.2308905603570646e-33,400,0.6843331264655469,0.6427573761634217
